Country,City,Culture,Event,Preferred Color,Preferred Style,Outfit
USA,Chicago,Latino,Wedding,Orange,Modern,Ruffles halter-neck dress with intricate embroidery
Dubai,Abu Dhabi,Traditional (Middle Eastern),Casual Party,Earth Tones,Modern,Geometric jumpsuit with sleeves
Sri Lanka,Colombo,Western,Casual Party,Red,Modern,Striped maxi skirt with a fitted tank top and flats
Malaysia,Ipoh,Malay,Office Meeting,Pastel,Modern,Minimal Embroidery midi dress with cardigan
England,Bristol,Western,Casual Party,Blue,Traditional,Abstract sweater dress with tights and ankle boots
USA,New York,Latino,Casual Party,Multicolor,Modern,Geometric peasant blouse with jeans
Sri Lanka,Jaffna,Traditional (Tamil),Wedding,Red,Modern,Embroidered jacket style saree
USA,Houston,Western,Wedding,Pastel,Traditional,Beaded long-sleeve chiffon dress with an empire waist
USA,Chicago,Western,Office Meeting,Navy,Traditional,Checkered twinset with skirt
Japan,Tokyo,Western,Office Meeting,Gray,Traditional,Solid cardigan over dress
England,Manchester,African/Caribbean,Wedding,Purple,Traditional,Beaded beaded Maasai gown
England,London,Western,Casual Party,Green,Modern,Polka dot jeans with a stylish off-shoulder top and wedges
Malaysia,Ipoh,Indian,Wedding,Red,Modern,Sequined gown with ethnic embroidery
England,London,African/Caribbean,Wedding,Gold,Traditional,Beaded Ankara mermaid gown
England,Bristol,Western,Wedding,Pastel,Traditional,Lace knee-length lace dress with cap sleeves
England,London,African/Caribbean,Office Meeting,Gray,Modern,Solid peplum top with trousers
Sri Lanka,Galle,Traditional (Sinhala),Office Meeting,Cream,Modern,Minimal Embroidery shift dress with structured silhouette and simple accents
England,Bristol,South Asian,Casual Party,Bright,Modern,Printed printed jumpsuit
England,Manchester,African/Caribbean,Office Meeting,Navy,Modern,Subtle Prints blazer with bright lining
Malaysia,Ipoh,Malay,Casual Party,Bright,Traditional,Floral kebaya with songket skirt
India,Bangalore,Traditional (South Indian),Wedding,Gold,Modern,Beaded designer saree
USA,Miami,Western,Casual Party,Red,Modern,Striped shorts with a flowy blouse and espadrilles
India,Delhi,Traditional (North Indian),Casual Party,Vibrant,Traditional,Printed block print suit
Sri Lanka,Colombo,Western,Wedding,Ivory,Traditional,Lace sleeveless pleated dress with a belted waist
USA,Houston,Black,Casual Party,Multicolor,Traditional,Dashiki gele with maxi dress
USA,New York,Latino,Casual Party,Bright,Modern,Geometric off-shoulder top with skirt
USA,Chicago,Western,Wedding,Silver,Traditional,Beaded floral A-line dress with a matching shawl
Dubai,Al Ain,Traditional (Middle Eastern),Office Meeting,Navy,Modern,Solid midi dress with cardigan
Sri Lanka,Colombo,Traditional (Sinhala),Casual Party,Bright,Modern,Batik dress with local patterns
Sri Lanka,Kandy,Traditional (Sinhala),Wedding,White,Traditional,Lace traditional wedding saree
Japan,Kyoto,Traditional Japanese,Wedding,Red,Traditional,Embroidered wedding kimono with cranes
England,London,Western,Casual Party,Green,Traditional,Striped blouse with a long skirt and low heels
Japan,Tokyo,Western,Casual Party,Blue,Modern,Abstract shorts with a flowy blouse and espadrilles
India,Mumbai,Western,Office Meeting,Navy,Traditional,Checkered dress with pantyhose
USA,Miami,Western,Wedding,Silver,Modern,Beaded ivory lace evening gown
